smiles,rt_min,CM_Tem,CM_Speed,CM_Particle Size,CM_Inner Diameter,CM_Length,CM_PhaseA_W_per,CM_PhaseA_O_per,CM_PhaseA_FA_per,CM_PhaseA_TFA_per,CM_PhaseB_O_pKa,CM_PhaseB_O_per,CM_PhaseB_W_per,CM_PhaseB_FA_per,CM_PhaseB_TFA_per,CM_RT-initial,CM_RT-final,CM_time
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCC(N[C@H](C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)C(C)(C)C)=O)=O)CC3)C(OC)=C7)C7=NC=N2,3.77,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCOCCOCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4.89,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCOCCOCCOCCOCCOCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,3.81,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4.99,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCCCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,3.81,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCCCCCCCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(CCC(NCCOCCNC4=C(C(N(C5C(NC(CC5)=O)=O)C6=O)=O)C6=CC=C4)=O)CC3)C(OC)=C7)C7=NC=N2,3.68,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(CCC(NCCOCCOCCOCCOCCOCCNC4=C(C(N(C5C(NC(CC5)=O)=O)C6=O)=O)C6=CC=C4)=O)CC3)C(OC)=C7)C7=NC=N2,3.77,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(CCC(NCCCCCCNC4=C(C(N(C5C(NC(CC5)=O)=O)C6=O)=O)C6=CC=C4)=O)CC3)C(OC)=C7)C7=NC=N2,3.84,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(CCC(NCCCCCCCCOC4=C(C(N(C5CCC(NC5=O)=O)C6=O)=O)C6=CC=C4)=O)CC3)C(OC)=C7)C7=NC=N2,4.22,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(C(CCCCCCCCCC(N[C@@H](C(C)(C)C)C(N4[C@@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@H](O)C4)=O)=O)=O)CC3)C(OC)=C7)C7=NC=N2,4.14,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
FC(C=C1)=C(Cl)C=C1NC2=C(C=C(OCCCN3CCN(CCC(NCCCCCCCCOC4=C(C(N(C5CCC(N(C)C5=O)=O)C6=O)=O)C6=CC=C4)=O)CC3)C(OC)=C7)C7=NC=N2,4.32,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H](NC(C1=CC=C(NCC2=NC3=C(N=C2)N=C(N)NC3=O)C=C1)=O)CCC(NCC4=CN(CCSSCCOC(N5C(C(N6C(C(C(N)=CC=C7)=C7C6=O)=O)CCC5=O)=O)=O)N=N4)=O)O,3.8,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H](NC(C1=CC=C(NCC2=NC3=C(N=C2)N=C(N)NC3=O)C=C1)=O)CCC(NCC4=CN(CCCCCCOC(N5C(C(N6C(C(C(N)=CC=C7)=C7C6=O)=O)CCC5=O)=O)=O)N=N4)=O)O,3.79,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H](CCC(NCC1=CN(CCSSCCOC(N2C(C(N3C(C(C(NCCNC(CN4CCC(C5=C(C)C=C(NC(N=C6NC(C=CC=C7)=C7S(C(C)C)(=O)=O)=NC=C6Cl)C(OC(C)C)=C5)CC4)=O)=CC=C8)=C8C3=O)=O)CCC2=O)=O)=O)N=N1)=O)NC(C9=CC=C(NCC%10=NC%11=C(N=C%10)N=C(N)NC%11=O)C=C9)=O)O,4.42,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H](CCC(NCC1=CN(CCCCCCOC(N2C(C(N3C(C(C(NCCNC(CN4CCC(C5=C(C)C=C(NC(N=C6NC(C=CC=C7)=C7S(C(C)C)(=O)=O)=NC=C6Cl)C(OC(C)C)=C5)CC4)=O)=CC=C8)=C8C3=O)=O)CCC2=O)=O)=O)N=N1)=O)NC(C9=CC=C(NCC%10=NC%11=C(N=C%10)N=C(N)NC%11=O)C=C9)=O)O,4.45,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC(C)(C)[C@@H](C(N1[C@H](C(NCC2=CC=C(C3=C(C)N=CS3)C=C2)=O)C[C@@H](O)C1)=O)NC(CNCCCONC(C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F)=O)=O,4.14,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.18,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.11,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.13,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.17,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.12,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.22,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.26,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.13,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.15,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.14,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(COCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.23,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.1,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCOCCOCCOCCOCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)NCC4=CC=C(C5=C(C)N=CS5)C=C4,4.16,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.59,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.12,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCN(C)CCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.62,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.56,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.63,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.61,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.17,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.16,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.2,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.22,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.27,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.31,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.19,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.18,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.18,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.13,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.29,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.42,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.61,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCCCCCCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.7,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.15,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.21,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.27,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.35,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(NC3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.37,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCN(C)CCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.75,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C([C@@H]1N(C([C@H](C(C)(C)C)NC(CCCCCCCCCCCNCCCCONC(C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3F)=O)=O)=O)C[C@@H](O)C1)N[C@H](C4=CC=C(C5=C(C)N=CS5)C=C4)C,4.84,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(NOCCCNCCOCCOCCOCCOCCOCCNC1=CC2=C(C(N(C(CC3)C(N(C)C3=O)=O)C2=O)=O)C=C1)C4=CC=C(F)C(F)=C4NC5=CC=C(I)C=C5F,4.42,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(COCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,3.97,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCOCCOCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,3.98,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCOCCOCCOCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,4,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(CCCCCCCCCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,4,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
CC1=C(C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(COCCOCCOCCOCCOCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O)=O)=O)=O)C=C2)SC=N1,3.78,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(N[C@@H](C(C)(C)C)C(N1C[C@H](O)C[C@H]1C(N[C@@H](C)C(C=C2)=CC=C2C3=C(C)N=CS3)=O)=O)COCCOCCOCCOCCOCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O,3.83,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(N[C@@H](C(C)(C)C)C(N1C[C@@H](O)C[C@@H]1C(N[C@@H](C)C(C=C2)=CC=C2C3=C(C)N=CS3)=O)=O)COCCOCCOCCOCCOCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CC7=CC=CC=C7CC6)=O)=C5)=O,3.78,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(N[C@@H](C(C)(C)C)C(N1C[C@H](O)C[C@H]1C(N[C@@H](C)C(C=C2)=CC=C2C3=C(C)N=CS3)=O)=O)COCCOCCOCCOCCOCC(N(C4)CC4NC5=NC=NC(C(NC[C@H](O)CN6CCCCC6)=O)=C5)=O,3.76,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
O=C(CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N1[C@H](C(NCC2=CC=C(C3=C(C)N=CS3)C=C2)=O)C[C@@H](O)C1)=O)=O)NCCCCC#CC4=CC=CC(C5=NN(C(CC6CC6)=C5CC7=CC=C(C=C7)S(N)(=O)=O)C8=NC(C(O)=O)=CS8)=C4,6.348,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
NS(=O)(C1=CC=C(CC(C(C2=CC(C#CCCCCNC(CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N3[C@H](C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)C[C@@H](OCC6=CC=CC=C6)C3)=O)=O)=O)=CC=C2)=NN7C8=NC(C(O)=O)=CS8)=C7CC9CC9)C=C1)=O,6.965,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
NS(=O)(C1=CC=C(CC(C(C2=CC(C#CCCCCNC(CCCCCCCCCCCC(N[C@@H](C(C)(C)C)C(N3[C@H](C(NCC4=CC=C(C5=C(C)N=CS5)C=C4)=O)C[C@@H](O)C3)=O)=O)=O)=CC=C2)=NN6C7=NC(C(N(C)C)=O)=CS7)=C6CC8CC8)C=C1)=O,6.513,25,0.4,5,2.1,150,99.9,0,0.1,0,-4.3,99.9,0,0.1,0,1,99,4
